

       COUNT WH_ID  ISSN_STATUS 
============ ====== =========== 
           2 XD     DC          
           6 XD     DS          
     1386188 XD     DX          
           5 XD     PA          
           1 XD     PL          
           9 XD     QR          
         104 XD     ST          
          20 XD     XX          
           7 XX     DS          
        2724 XX     DX          
        2001 XX     LB          
           3 XX     PA          
          10 XX     PL          
           4 XX     QR          
          34 XX     ST          
       10527 XX     XX          

